Date,Stock,Close,Interest Rate,Inflation Rate,GDP
2018-05-11,JPM,113.86000061035156,1.7,2.543212,20676.656175824177
2018-05-11,MS,55.20000076293945,1.7,2.543212,20676.656175824177
2018-05-11,CSCO,45.93000030517578,1.7,2.543212,20676.656175824177
2018-05-11,AAPL,47.147499084472656,1.7,2.543212,20676.656175824177
2018-05-11,AMZN,80.14550018310547,1.7,2.543212,20676.656175824177
2018-05-11,F,11.1899995803833,1.7,2.543212,20676.656175824177
2018-05-14,MS,55.220001220703125,1.7,2.543212,20683.83698901099
2018-05-14,AMZN,80.0770034790039,1.7,2.543212,20683.83698901099
2018-05-14,CSCO,45.70000076293945,1.7,2.543212,20683.83698901099
2018-05-14,WFC,54.47999954223633,1.7,2.543212,20683.83698901099
2018-05-14,F,11.18000030517578,1.7,2.543212,20683.83698901099
2018-05-14,MSFT,98.02999877929688,1.7,2.543212,20683.83698901099
2018-05-14,AAPL,47.03749847412109,1.7,2.543212,20683.83698901099
2018-05-14,JPM,113.9000015258789,1.7,2.543212,20683.83698901099
2018-05-15,AMZN,78.80599975585938,1.7,2.543212,20686.23059340659
2018-05-15,WFC,54.75,1.7,2.543212,20686.23059340659
2018-05-15,CSCO,45.47999954223633,1.7,2.543212,20686.23059340659
2018-05-15,AAPL,46.61000061035156,1.7,2.543212,20686.23059340659
2018-05-15,MSFT,97.31999969482422,1.7,2.543212,20686.23059340659
2018-05-15,MS,54.84999847412109,1.7,2.543212,20686.23059340659
2018-05-15,F,11.220000267028809,1.7,2.543212,20686.23059340659
2018-05-15,JPM,113.02999877929688,1.7,2.543212,20686.23059340659
2018-05-16,CSCO,45.15999984741211,1.7,2.543212,20688.6241978022
2018-05-16,JPM,113.33999633789062,1.7,2.543212,20688.6241978022
2018-05-16,F,11.399999618530272,1.7,2.543212,20688.6241978022
2018-05-16,MSFT,97.1500015258789,1.7,2.543212,20688.6241978022
2018-05-16,MS,54.970001220703125,1.7,2.543212,20688.6241978022
2018-05-16,AAPL,47.04499816894531,1.7,2.543212,20688.6241978022
2018-05-16,WFC,55.040000915527344,1.7,2.543212,20688.6241978022
2018-05-16,AMZN,79.36399841308594,1.7,2.543212,20688.6241978022
2018-05-17,F,11.460000038146973,1.7,2.543212,20691.017802197803
2018-05-17,WFC,54.220001220703125,1.7,2.543212,20691.017802197803
2018-05-17,AAPL,46.747501373291016,1.7,2.543212,20691.017802197803
2018-05-17,MS,54.869998931884766,1.7,2.543212,20691.017802197803
2018-05-17,AMZN,79.08799743652344,1.7,2.543212,20691.017802197803
2018-05-17,MSFT,96.18000030517578,1.7,2.543212,20691.017802197803
2018-05-17,CSCO,43.459999084472656,1.7,2.543212,20691.017802197803
2018-05-17,JPM,112.95999908447266,1.7,2.543212,20691.017802197803
2018-05-18,CSCO,43.209999084472656,1.7,2.543212,20693.411406593408
